#  cores, N, px, py, iter, T_p, Gflops, Linf, L2
1, 400, 1, 1, 400, 0.7534, 2.379, 9.924440E-01, 6.250370E-01
2, 400, 2, 1, 400, 0.3716, 4.822, 9.924440E-01, 6.250370E-01
4, 400, 2, 2, 400, 0.1932, 9.277, 9.924440E-01, 6.250370E-01
8, 400, 4, 2, 400, 0.1002, 17.88, 9.924440E-01, 6.250370E-01
24, 1800, 24, 1, 2000, 0.9077, 199.9, 9.967500E-01, 6.486060E-01
48, 1800, 12, 4, 2000, 0.469, 386.9, 9.967500E-01, 6.486060E-01
96, 1800, 48, 2, 2000, 0.2548, 712.1, 9.967500E-01, 6.486060E-01
192, 8000, 24, 8, 2000, 3.24, 1106.0, 9.999360E-01, 6.745790E-01
384, 8000, 24, 16, 2000, 1.991, 1800.0, 9.999360E-01, 6.745790E-01
480, 8000, 40, 12, 2000, 1.777, 2016.0, 9.999360E-01, 6.745790E-01
960, 8000, 480, 2, 2000, 0.5528, 6484.0, 9.999360E-01, 6.745790E-01
